===============START=================
#########
E02002 | Kai Le | Engineering
#########
E02003 | Robert Patel | Sales
#########
E02004 | Cameron Lo | IT
#########
E02005 | Harper Castillo | IT
#########
E02006 | Harper Dominguez | Engineering
#########
E02007 | Ezra Vu | IT
#########
E02008 | Jade Hu | Accounting
#########
E02009 | Miles Chang | Finance
#########
E02010 | Gianna Holmes | IT
#########
E02011 | Jameson Thomas | Finance
#########
E02012 | Jameson Pena | IT
#########
E02013 | Bella Wu | Finance
#########
E02014 | Jose Wong | IT
#########
E02015 | Lucas Richardson | Marketing
#########
E02016 | Jacob Moore | Marketing
#########
E02017 | Luna Lu | IT
#########
E02018 | Bella Tran | Engineering
#########
E02019 | Ivy Chau | Sales
#########
E02020 | Jordan Kumar | IT
#########
E02021 | Sophia Gutierrez | Accounting
#########
E02022 | Eli Dang | Accounting
#########
E02023 | Lillian Lewis | IT
#########
E02024 | Serenity Cao | Sales
#########
E02025 | Parker Lai | Accounting
#########
E02026 | Charles Simmons | Sales
#########
E02027 | Jayden Luu | Accounting
#########
E02028 | Brooks Richardson | Marketing
#########
E02029 | Ivy Thompson | Marketing
#########
E02030 | Peyton Wright | Marketing
#########
E02031 | Wyatt Dinh | IT
#########
E02032 | Ruby Alexander | Finance
#########
E02033 | Axel Oh | Sales
#########
E02034 | Axel Ramirez | Human Resources
#########
E02035 | Liliana Chang | IT
#########
E02036 | Leonardo Carter | Human Resources
#########
E02037 | Landon Gonzales | Engineering
#########
E02038 | Amelia Dominguez | Accounting
#########
E02039 | Silas Ross | Marketing
#########
E02040 | Jeremiah Cheng | Marketing
#########
E02041 | Chloe Chin | Finance
#########
E02042 | Ella Martinez | Finance
#########
E02043 | Gianna Jones | Accounting
#########
E02044 | Austin Chow | Accounting
#########
E02045 | Ella Chen | Accounting
#########
E02046 | Ruby Kaur | Engineering
#########
E02047 | Savannah Morales | Marketing
#########
E02048 | Luca Powell | IT
#########
E02049 | Parker Thao | Sales
#########
E02050 | Ryan Vo | IT
#########
E02051 | Isabella Ngo | Accounting
#########
E02052 | Leah Vega | IT
#########
E02053 | Jaxson Liu | Finance
#########
E02054 | Santiago f Ross | IT
#########
E02055 | Layla Bell | Engineering
#########
E02056 | Bella Morales | Sales
#########
E02057 | Eliza Kang | IT
#########
E02058 | Gabriel Reyes | Sales
#########
E02059 | Piper Garcia | Sales
#########
E02060 | Jacob Cheng | Sales
#########
E02061 | Nathan Hong | Finance
#########
E02062 | Chloe Kim | Sales
#########
